,book_authors,book_desc,book_rating,book_title,genres,tag_1,tag_2,tag_3
96,Agatha Christie,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. One by one they fall prey. Before the weekend is out, there will be none. And only the dead are above suspicion.",4.25,And Then There Were None,Mystery,Mystery,Romance,Sci-fi
192,Agatha Christie,"En route to London, Belgian detective Hercule Poirot has booked winter passage on the fabled Orient Express. Among the assortment of fellow passengers, one wealthy American holds a unique distinction: he has been found dead of multiple stab wounds in the night compartment of the Calais coach. By dawn, thirteen travelers, each bearing a secret, will find themselves suspect in the most ingenious crime Poirot has ever solved...",4.16,Murder on the Orient Express,Mystery,Romance,Mistery,Fantasy
507,Ellen Raskin,"A bizarre chain of events begins when sixteen unlikely people gather for the reading of Samuel W. Westing's will. And though no one knows why the eccentric, game-loving millionaire has chosen a virtual stranger - and a possible murderer - to inherit his vast fortune, one thing's for sure: Sam Westing may be dead... but that won't stop him from playing one last game!",4.03,The Westing Game,Mystery,Mystery,Fantasy,Sci-fi
533,Janet Evanovich,"Pestered by her close New Jersey family, Stephanie Plum offers to catch high-school crush Joe Morelli, cop turned bail jumper, for her cousin Vinnie's company. She questions ""working girls"" to find the missing girlfriend of vicious prizefighter Benito Ramirez while Joe secretly watches her back. Ranger mentors her and supplies vehicles when hers explode.",4.03,One for the Money,Mystery,Mystery,Romance,Fantasy
559,Alexander McCall Smith,"Precious Ramotswe has only just set up shop as Botswana's No.1 (and only) lady detective when she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. However, the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witch doctors.",3.77,The No. 1 Ladies' Detective Agency,Mystery,Mystery,Romance,Fantasy
570,Raymond Chandler,"""Down these mean streets a man must go who is not himself mean, who is neither tarnished nor afraid....He is the hero; he is everything. He must be a complete man and a common man and yet an unusual man. This is the Code of the Private Eye as defined by Raymond Chandler in his 1944 essay 'The Simple Act of Murder.' Such a man was Philip Marlowe, private eye, an educated, heroic, streetwise, rugged individualist and the hero of Chandler's first novel, The Big Sleep. This work established Chandler as the master of the 'hard-boiled' detective novel, and his articulate and literary style of writing won him a large audience, which ranged from the man in the street to the most sophisticated intellectual. Marlowe subsequently appeared in a series of extremely popular novels, among them The Lady in the Lake, The Long Goodbye, and Farewell, My Lovely."" ~ Elizabeth Diefendorf, editor, The New York Public Library's Books of the Century, p. 112.Selected as one of Time Magazine's All-Time 100 Novels, with the following review: ""'I was neat, clean, shaved and sober, and I didn't care who knew it. I was everything the well-dressed private detective ought to be.' This sentence, from the first paragraph of The Big Sleep, marks the last time you can be fully confident that you know what's going on. The first novel by Raymond Chandler at the age of 51.",4.02,The Big Sleep,Mystery,Mystery,Romance,Sci-fi
643,Agatha Christie,"The tranquillity of a cruise along the Nile is shattered by the discovery that Linnet Ridgeway has been shot through the head. She was young, stylish and beautiful, a girl who had everything - until she lost her life. Hercule Poirot recalls an earlier outburst by a fellow passenger: 'I'd like to put my dear little pistol against her head and just press the trigger.' Yet in this exotic setting, nothing is ever quite what it seems...",4.08,Death on the Nile,Mystery,Mystery,Fantasy,Romance
690,Stieg Larsson|Reg Keeland,"Stieg Larsson’s Millennium Trilogy is now available in a complete hardcover set.
All across America, readers are talking about Stieg Larsson’s best-selling novels, set in Sweden and featuring Lisbeth Salander—“one of the most original and memorable heroines to surface in a recent thriller” (The New York Times). The trilogy is an international sensation that will grab you and keep you “reading with eyes wide open” (San Francisco Chronicle). “[It] is intricately plotted, lavishly detailed but written with a breakneck pace and verve” (The Independent, U.K.), but “be warned: the trilogy is seriously addictive.” (The Guardian, U.K.).“Believe the hype . . . It’s gripping stuff.”—People“Stieg Larsson clearly loved his brave misfit Lisbeth. And so will you.”—USA Today“Larsson has bottled lightning.”—Los Angeles Times
The Girl with the Dragon Tattoo
Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared without a trace more than forty years ago. All these years later, her aged uncle continues to try to discover what happened to her. He hires Mikael Blomkvist, a journalist recently sidelined by a libel conviction, to investigate. Blomkvist is aided by the pierced and tattooed computer prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption on their way to discovering the truth of Harriet Vanger’s fate.
The Girl Who Played with Fire
Mikael Blomkvist, now the crusading publisher of the magazine Millennium, has decided to run a story that will expose an extensive sex trafficking operation. On the eve of its publication, the two reporters responsible for the article are murdered, and the fingerprints found on the murder weapon belong to his friend Lisbeth Salander. Blomkvist, convinced of Salander’s innocence, plunges into an investigation of the murders. Meanwhile, Salander herself is drawn into a murderous game of cat and mouse, which forces her to face her dark past.
The Girl Who Kicked the Hornet's Nest
Lisbeth Salander lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She’s fighting for her life in more ways than one: if and when she recovers, she’ll be taken back to Stockholm to stand trial for three murders. With the help of Mikael Blomkvist, she will not only have to prove her innocence, but also identify and denounce those in authority who have allowed the vulnerable, like herself, to suffer abuse and violence. On her own, she will plot revenge—against the man who tried to kill her, and against the corrupt government institutions that very nearly destroyed her life.
“Unique and fascinating . . . Like a blast of cold, fresh air.”—Chicago Tribune“Wildly suspenseful . . . Intelligent, ingeniously plotted, utterly engrossing.”—The Washington Post“A gripping, stay-up-all-night read.”—Entertainment Weekly
“Dynamite.”—Variety",4.47,The Millennium Trilogy,Mystery,Mystery,Sci-fi,Romance
704,Dennis Lehane,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.",4.19,Mystic River,Mystery,Mystery,Romance,Fantasy
760,Dennis Lehane,"The year is 1954. U.S. Marshal Teddy Daniels and his new partner, Chuck Aule, have come to Shutter Island, home of Ashecliffe Hospital for the Criminally Insane, to investigate the disappearance of a patient. Multiple murderess Rachel Solando is loose somewhere on this remote and barren island, despite having been kept in a locked cell under constant surveillance. As a killer hurricane relentlessly bears down on them, a strange case takes on even darker, more sinister shades—with hints of radical experimentation, horrifying surgeries, and lethal countermoves made in the cause of a covert shadow war. No one is going to escape Shutter Island unscathed, because nothing at Ashecliffe Hospital is what it seems. But then neither is Teddy Daniels.",4.09,Shutter Island,Mystery,Science Fiction,Mistery,Fantasy
